Date,Latitude (degrees),Longitude (degrees),Quality (+/- km),Air Temp (C),Air Pressure (mb),Snow Surface Position (m),Ice Thickness(m),Ice Surface Position (m),Ice Bottom Position(m),T1 (C),T2 (C),T3 (C),T4 (C),T5 (C),T6 (C),T7 (C),T8 (C),T9 (C),T10 (C),T11 (C),T12 (C),T13 (C),T14 (C),T15 (C),T16 (C),T17 (C),T18 (C),T19 (C),T20 (C),T21 (C),T22 (C),T23 (C),T24 (C),T25 (C),T26 (C),T27 (C),T28 (C),T29 (C),T30 (C),T31 (C),T32 (C),T33 (C),T34 (C),T35 (C),T36 (C),T37 (C),T38 (C),T39 (C),T40 (C),T41 (C),T42 (C),T43 (C),T44 (C),T45 (C)
"08/25/2013 00:00","     76.9275","   -138.8837","GPS","     -0.60","   1007.58","     -0.00","      1.40","      0.00","     -1.40","     -0.28","     -0.28","     -0.29","     -0.33","     -0.36","     -0.36","     -0.34","     -0.53","     -0.79","     -0.27","     -0.33","     -0.36","     -0.35","     -0.45","     -0.50","     -0.74","     -1.49","     -1.46","     -1.49","     -1.44","     -1.51","     -1.48","     -1.49","     -1.43","     -1.47","     -1.45","     -1.45","     -1.44","     -1.47","     -1.53","     -1.45","     -1.44","     -1.43","     -1.48","     -1.51","     -1.49","     -1.45","     -1.46","     -1.47","     -1.46","     -1.47","     -1.47","     -1.51","     -1.46","     -1.41"
"08/25/2013 01:00","     76.9253","   -138.8609","GPS","     -0.51","   1007.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/25/2013 02:00","     76.9221","   -138.8372","GPS","     -0.47","   1007.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/25/2013 03:00","     76.9178","   -138.8168","GPS","     -0.49","   1008.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/25/2013 04:00","     76.9123","   -138.8039","GPS","     -0.59","   1008.32","      0.02","      1.40","      0.00","     -1.40","     -0.32","     -0.32","     -0.31","     -0.32","     -0.38","     -0.38","     -0.35","     -0.55","     -0.31","     -0.23","     -0.25","     -0.34","     -0.36","     -0.46","     -0.53","     -0.74","     -1.47","     -1.46","     -1.49","     -1.44","     -1.51","     -1.48","     -1.49","     -1.43","     -1.47","     -1.45","     -1.46","     -1.43","     -1.48","     -1.53","     -1.45","     -1.44","     -1.43","     -1.48","     -1.51","     -1.49","     -1.46","     -1.46","     -1.47","     -1.46","     -1.47","     -1.47","     -1.51","     -1.46","     -1.41"
"08/25/2013 05:00","     76.9061","   -138.7989","GPS","     -1.42","   1008.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/25/2013 06:00","     76.9000","   -138.8026","GPS","     -1.42","   1009.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/25/2013 07:00","     76.8947","   -138.8119","GPS","     -1.42","   1009.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/25/2013 08:00","     76.8903","   -138.8226","GPS","     -2.06","   1009.91","      0.01","      1.39","      0.00","     -1.39","     -1.90","     -1.90","     -1.87","     -1.86","     -1.91","     -1.89","     -1.80","     -0.72","     -0.36","     -0.23","     -0.25","     -0.35","     -0.38","     -0.49","     -0.55","     -0.72","     -1.46","     -1.47","     -1.49","     -1.45","     -1.51","     -1.49","     -1.49","     -1.44","     -1.47","     -1.46","     -1.47","     -1.44","     -1.49","     -1.54","     -1.46","     -1.45","     -1.43","     -1.49","     -1.51","     -1.49","     -1.46","     -1.47","     -1.47","     -1.47","     -1.48","     -1.47","     -1.51","     -1.47","     -1.42"
"08/25/2013 09:00","     76.8858","   -138.8313","GPS","     -2.64","   1010.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/25/2013 10:00","     76.8824","   -138.8383","GPS","     -2.88","   1010.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/25/2013 11:00","     76.8791","   -138.8406","GPS","     -2.80","   1010.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
