Date(GMT),Lat,Lon
2014-03-15 00:00:00,74.708,20.8926
2014-03-15 00:15:00,74.705,20.8706
2014-03-15 00:30:00,74.7014,20.8508
2014-03-15 00:45:00,74.6974,20.832
2014-03-15 01:00:00,74.6928,20.8152
2014-03-15 01:15:00,74.688,20.8004
2014-03-15 01:30:00,74.6828,20.788
2014-03-15 01:45:00,74.6774,20.7776
2014-03-15 02:00:00,74.6716,20.7696
2014-03-15 02:15:00,74.6658,20.7636
2014-03-15 02:30:00,74.6596,20.7598
2014-03-15 02:45:00,74.6536,20.758
2014-03-15 03:00:00,74.6474,20.7584
2014-03-15 03:15:00,74.6414,20.761
2014-03-15 03:30:00,74.6352,20.7656
2014-03-15 03:45:00,74.6294,20.7726
2014-03-15 04:00:00,74.624,20.782
2014-03-15 04:15:00,74.619,20.794
2014-03-15 04:30:00,74.6144,20.8088
2014-03-15 04:45:00,74.6102,20.8254
2014-03-15 05:00:00,74.6066,20.844
2014-03-15 05:15:00,74.6034,20.8648
2014-03-15 05:30:00,74.601,20.8866
2014-03-15 05:45:00,74.5994,20.9106
2014-03-15 06:00:00,74.5988,20.934
2014-03-15 06:15:00,74.5988,20.9584
2014-03-15 06:30:00,74.6002,20.9818
2014-03-15 06:45:00,74.6024,21.0026
2014-03-15 07:00:00,74.6056,21.0222
2014-03-15 07:15:00,74.6096,21.0384
2014-03-15 07:30:00,74.6146,21.051
2014-03-15 07:45:00,74.6198,21.0618
2014-03-15 08:00:00,74.6254,21.0696
2014-03-15 08:15:00,74.6312,21.0736
2014-03-15 08:30:00,74.6312,21.0736
2014-03-15 08:45:00,74.6372,21.0738
2014-03-15 09:00:00,74.6434,21.0702
2014-03-15 09:15:00,74.6492,21.0634
2014-03-15 09:30:00,74.655,21.0546
2014-03-15 09:45:00,74.6608,21.043
2014-03-15 10:00:00,74.6664,21.029
2014-03-15 10:15:00,74.6718,21.012
2014-03-15 10:30:00,74.6768,20.9928
2014-03-15 10:45:00,74.6812,20.9722
2014-03-15 11:00:00,74.6852,20.9506
2014-03-15 11:15:00,74.6888,20.9262
2014-03-15 11:30:00,74.6916,20.9012
2014-03-15 11:45:00,74.6938,20.8756
2014-03-15 12:00:00,74.6956,20.8494
2014-03-15 12:15:00,74.6964,20.8236
2014-03-15 12:30:00,74.6966,20.7988
2014-03-15 12:45:00,74.6964,20.775
2014-03-15 13:00:00,74.696,20.7522
2014-03-15 13:15:00,74.6948,20.7312
2014-03-15 13:30:00,74.6932,20.712
2014-03-15 13:45:00,74.691,20.6948
2014-03-15 14:00:00,74.6884,20.6802
2014-03-15 14:15:00,74.6858,20.6672
2014-03-15 14:30:00,74.683,20.6558
2014-03-15 14:45:00,74.6798,20.6464
2014-03-15 15:00:00,74.6764,20.639
2014-03-15 15:15:00,74.6728,20.6336
2014-03-15 15:30:00,74.6692,20.6302
2014-03-15 15:45:00,74.6656,20.6288
2014-03-15 16:00:00,74.662,20.629
2014-03-15 16:15:00,74.6588,20.631
2014-03-15 16:30:00,74.6558,20.6348
2014-03-15 16:45:00,74.653,20.64
2014-03-15 17:00:00,74.6506,20.6466
2014-03-15 17:15:00,74.6486,20.6544
2014-03-15 17:30:00,74.6468,20.6634
2014-03-15 17:45:00,74.6456,20.6732
2014-03-15 18:00:00,74.645,20.6836
2014-03-15 18:15:00,74.6446,20.6944
2014-03-15 18:30:00,74.645,20.7052
2014-03-15 18:45:00,74.6458,20.7158
2014-03-15 19:00:00,74.6472,20.7254
2014-03-15 19:15:00,74.6492,20.7338
2014-03-15 19:30:00,74.6518,20.7414
2014-03-15 19:45:00,74.6548,20.7482
2014-03-15 20:00:00,74.6582,20.7522
2014-03-15 20:15:00,74.662,20.7542
2014-03-15 20:30:00,74.666,20.7542
2014-03-15 20:45:00,74.6702,20.7512
2014-03-15 21:00:00,74.6744,20.746
2014-03-15 21:15:00,74.6786,20.7384
2014-03-15 21:30:00,74.6826,20.7284
2014-03-15 21:45:00,74.6868,20.716
2014-03-15 22:00:00,74.6908,20.7014
2014-03-15 22:15:00,74.6946,20.685200000000002
2014-03-15 22:30:00,74.6982,20.6658
2014-03-15 22:45:00,74.7016,20.6452
2014-03-15 23:00:00,74.7046,20.6228
2014-03-15 23:15:00,74.7072,20.599
2014-03-15 23:30:00,74.709,20.5744
2014-03-15 23:45:00,74.7104,20.5498
2014-03-16 00:00:00,74.7112,20.5232
2014-03-16 00:15:00,74.7116,20.4976
2014-03-16 00:30:00,74.7112,20.4728
2014-03-16 00:45:00,74.7102,20.4486
2014-03-16 01:00:00,74.7086,20.4258
2014-03-16 01:15:00,74.7064,20.4044
2014-03-16 01:30:00,74.7036,20.3848
2014-03-16 01:45:00,74.7002,20.3672
2014-03-16 02:00:00,74.6964,20.3522
2014-03-16 02:15:00,74.6918,20.3392
2014-03-16 02:30:00,74.687,20.3294
2014-03-16 02:45:00,74.682,20.3228
2014-03-16 03:00:00,74.6768,20.3194
2014-03-16 03:15:00,74.6716,20.3196
2014-03-16 03:30:00,74.6664,20.323
2014-03-16 03:45:00,74.6612,20.33
2014-03-16 04:00:00,74.6562,20.3398
2014-03-16 04:15:00,74.6516,20.352
2014-03-16 04:30:00,74.6472,20.3662
2014-03-16 04:45:00,74.6432,20.383
2014-03-16 05:00:00,74.6396,20.4012
2014-03-16 05:15:00,74.6368,20.4206
2014-03-16 05:30:00,74.6344,20.4412
2014-03-16 05:45:00,74.6328,20.462
2014-03-16 06:00:00,74.6316,20.4828
2014-03-16 06:15:00,74.631,20.503
2014-03-16 06:30:00,74.6312,20.5224
2014-03-16 06:45:00,74.6318,20.540399999999998
2014-03-16 07:00:00,74.6332,20.5578
2014-03-16 07:15:00,74.635,20.5734
2014-03-16 07:30:00,74.6374,20.5878
2014-03-16 07:45:00,74.6402,20.6004
2014-03-16 08:00:00,74.6434,20.6114
2014-03-16 08:15:00,74.6468,20.6206
2014-03-16 08:30:00,74.6508,20.628
2014-03-16 08:45:00,74.655,20.6332
2014-03-16 09:00:00,74.6594,20.6364
2014-03-16 09:15:00,74.664,20.6378
2014-03-16 09:30:00,74.669,20.637
2014-03-16 09:45:00,74.674,20.634
2014-03-16 10:00:00,74.6788,20.6286
2014-03-16 10:15:00,74.6842,20.6206
2014-03-16 10:30:00,74.6894,20.6104
2014-03-16 10:45:00,74.6948,20.598
2014-03-16 11:00:00,74.6998,20.5836
2014-03-16 11:15:00,74.7046,20.5674
2014-03-16 11:30:00,74.7092,20.5494
2014-03-16 11:45:00,74.7132,20.5298
2014-03-16 12:00:00,74.717,20.509
2014-03-16 12:15:00,74.7202,20.4876
2014-03-16 12:30:00,74.723,20.4664
2014-03-16 12:45:00,74.7254,20.4438
2014-03-16 13:00:00,74.7274,20.4214
2014-03-16 13:15:00,74.7292,20.399
2014-03-16 13:30:00,74.7302,20.3768
2014-03-16 13:45:00,74.7306,20.3582
2014-03-16 14:00:00,74.73,20.341
2014-03-16 14:15:00,74.7292,20.325
2014-03-16 14:30:00,74.7278,20.3106
2014-03-16 14:45:00,74.726,20.2974
2014-03-16 15:00:00,74.7238,20.2868
2014-03-16 15:15:00,74.7212,20.2776
2014-03-16 15:30:00,74.7182,20.2714
2014-03-16 15:45:00,74.715,20.267
2014-03-16 16:00:00,74.7114,20.2648
2014-03-16 16:15:00,74.7082,20.2644
2014-03-16 16:30:00,74.7048,20.2664
2014-03-16 16:45:00,74.7014,20.2704
2014-03-16 17:00:00,74.6982,20.2752
2014-03-16 17:15:00,74.6956,20.2826
2014-03-16 17:30:00,74.6934,20.2918
2014-03-16 17:45:00,74.6914,20.3014
2014-03-16 18:00:00,74.69,20.312
2014-03-16 18:15:00,74.689,20.3228
2014-03-16 18:30:00,74.6884,20.3338
2014-03-16 18:45:00,74.6884,20.344
2014-03-16 19:00:00,74.6888,20.353
2014-03-16 19:15:00,74.6894,20.3618
2014-03-16 19:30:00,74.6904,20.3702
2014-03-16 19:45:00,74.6916,20.3778
2014-03-16 20:00:00,74.6934,20.3848
2014-03-16 20:15:00,74.6954,20.3898
2014-03-16 20:30:00,74.6974,20.3948
2014-03-16 20:45:00,74.6998,20.3982
2014-03-16 21:00:00,74.7024,20.3998
2014-03-16 21:15:00,74.705,20.4
